timestamp,HR,HRV,EAR,BlinkRate,ROI
1763197758.96,90.0,208.36,0.297,2,left_cheek
1763197763.97,97.78,176.79,0.269,4,right_cheek
1763197768.97,92.48,196.24,0.254,7,right_cheek
1763197774.0,91.99,192.34,0.302,10,right_cheek
1763197779.02,94.52,197.23,0.21,25,right_cheek
1763197784.05,96.81,179.04,0.361,37,right_cheek
1763197789.06,101.69,167.03,0.304,37,right_cheek
1763197794.08,96.91,223.02,0.38,37,right_cheek
1763197799.1,93.24,216.35,0.32,40,right_cheek
1763197804.13,86.87,232.59,0.119,41,left_cheek
1763197809.15,88.51,240.47,0.279,42,left_cheek
1763197814.16,93.56,188.33,0.31,43,right_cheek
